image,target_xywh,target_cls,target_cls_fine,xywh,cls,conf
4120978-single-green-leaf-of-apple-tree_jpg.rf.544585888de4ef9e6102152dadd781d1,"[[0.51625, 0.5328282828282829, 0.845, 0.7895622895622896]]",[0],[1],"[[403.1328125, 311.19537353515625, 714.476318359375, 493.71044921875]]",[0.0],[0.9397116899490356]
17fc47_jpg.rf.b1e449135756800eb9b6531da6d44d1e,"[[0.8313802083333334, 0.11474609375, 0.3372395833333333, 0.1201171875], [0.5247395833333334, 0.14990234375, 0.16145833333333334, 0.1005859375], [0.7584635416666666, 0.33740234375, 0.18880208333333334, 0.2431640625], [0.3352864583333333, 0.478515625, 0.21744791666666666, 0.2265625], [0.4733072916666667, 0.41357421875, 0.23567708333333334, 0.2412109375], [0.6328125, 0.39013671875, 0.17708333333333334, 0.2626953125]]","[11, 11, 11, 11, 11, 11]","[25, 25, 25, 25, 25, 25]","[[298.7896728515625, 717.3463745117188, 159.01583862304688, 126.8203125], [479.66094970703125, 392.0115051269531, 139.06192016601562, 318.19805908203125], [662.85693359375, 116.00344848632812, 209.77838134765625, 137.58544921875], [682.073974609375, 329.6095275878906, 171.85211181640625, 292.9661865234375], [228.04022216796875, 464.8690490722656, 208.74053955078125, 251.19671630859375], [345.77294921875, 142.61233520507812, 98.16372680664062, 136.63836669921875], [298.6351623535156, 635.6434326171875, 243.2640380859375, 92.49749755859375], [344.2567443847656, 389.96923828125, 196.95703125, 258.9663391113281], [442.46490478515625, 55.06511306762695, 196.21963500976562, 110.07080841064453], [591.2681884765625, 91.32516479492188, 147.36798095703125, 182.65032958984375], [583.64208984375, 728.5755615234375, 94.74237060546875, 121.96221923828125], [391.37310791015625, 262.3524475097656, 93.63180541992188, 66.52314758300781], [55.90303039550781, 378.8845520019531, 87.74006652832031, 76.14495849609375]]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.8808920383453369, 0.8781592845916748, 0.8549283146858215, 0.8475549221038818, 0.8374172449111938, 0.8349449634552002, 0.8264189958572388, 0.8004823327064514, 0.6770756840705872, 0.6320075988769531, 0.5842790603637695, 0.5586486458778381, 0.2877386808395386]"
irish-blight-symptoms-on-potato-leaves-atmf8b_jpg.rf.254e889fd637ab9ea268bdeab989297a,"[[0.4109375, 0.6430205949656751, 0.375, 0.6041189931350115]]",[6],[13],"[[265.9001770019531, 281.06085205078125, 227.4061279296875, 258.1981201171875]]",[6.0],[0.8351056575775146]
185161-004-EAF28842_jpg.rf.53600a8f3d13bf089c3d2b7d82dc6f3d,"[[0.4988207547169811, 0.4988888888888889, 0.9929245283018868, 0.9933333333333333]]",[0],[2],"[[217.556640625, 226.5208740234375, 412.21209716796875, 444.87567138671875]]",[12.0],[0.838030993938446]
20180511_090912-14gtw8a-e1526047952754_jpg.rf.1de82fc329323d24df3845ae0a5fd876,"[[0.3908969210174029, 0.46536144578313254, 0.7603748326639893, 0.4454066265060241], [0.3435408299866131, 0.14015436746987953, 0.4534805890227577, 0.14439006024096385]]","[0, 0]","[1, 1]","[[1422.054931640625, 2450.692626953125, 1643.10546875, 2371.740234375], [953.019775390625, 670.0317993164062, 1499.13720703125, 754.0811767578125]]","[0.0, 0.0]","[0.9310809969902039, 0.8104800581932068]"
160314_web_jpg.rf.2ba9ce9e8c8cb483dca3d12dc3588dfe,"[[0.50125, 0.50093808630394, 0.9275, 0.99812382739212]]",[4],[8],"[[213.7235565185547, 266.6054992675781, 369.9499206542969, 532.7890014648438]]",[4.0],[0.9316900372505188]
12-19striprustJIM_jpg.rf.ea6d0c5fcd86fa39841fb6659a34f978,"[[0.4918918918918919, 0.506, 0.9297297297297298, 0.988]]",[4],[9],"[[92.58541870117188, 250.0, 166.1390380859375, 500.0]]",[4.0],[0.9279406070709229]
black_leaf_mold_in_zina_tina_jpg.rf.3e3edbcc68557485f33ae46c3e881f89,"[[0.9327777777777778, 0.44814814814814813, 0.13444444444444445, 0.44], [0.3477777777777778, 0.47333333333333333, 0.3, 0.34814814814814815], [0.6844444444444444, 0.28888888888888886, 0.20444444444444446, 0.5511111111111111]]","[11, 11, 11]","[26, 26, 26]","[[624.5938110351562, 219.85150146484375, 201.5595703125, 357.83642578125], [301.0596618652344, 313.70062255859375, 246.26380920410156, 240.10861206054688], [833.0504150390625, 303.8140869140625, 133.89910888671875, 327.960693359375]]","[11.0, 11.0, 11.0]","[0.5859010219573975, 0.5090762972831726, 0.27363723516464233]"
Bacterial-spot-pepper2_jpg.rf.513af3f970230791d1892dd8f653fd60,"[[0.4841628959276018, 0.4397590361445783, 0.9592760180995475, 0.8554216867469879]]",[1],[4],"[[110.2501220703125, 79.88094329833984, 220.500244140625, 155.3012237548828]]",[1.0],[0.7696903944015503]
P1200701-Vaccinium-ovalifolium-Oval-leaf-Blueberry-leaf-margin-Heather-Meadows-cr_jpg.rf.789e625487613a9c0286e77ef2a025db,"[[0.5375494071146245, 0.4487645348837209, 0.8181818181818182, 0.8771802325581395]]",[2],[5],"[[526.8792724609375, 606.5647583007812, 842.3118896484375, 1175.5933837890625], [523.3391723632812, 610.2108764648438, 834.7235717773438, 1185.5125732421875]]","[1.0, 11.0]","[0.7403503656387329, 0.6705158948898315]"
potato-late-blight_jpg.rf.b752c421c4fcbb265e2487f11ead475a,"[[0.5438775510204081, 0.31025641025641026, 0.29591836734693877, 0.441025641025641]]",[6],[13],"[[268.84326171875, 122.80547332763672, 141.6858673095703, 171.9816436767578], [204.85377502441406, 308.4210205078125, 186.80551147460938, 152.14749145507812], [63.98432922363281, 313.10064697265625, 93.98446655273438, 138.02316284179688], [172.6859588623047, 110.18787384033203, 153.19107055664062, 209.8769073486328]]","[6.0, 6.0, 6.0, 6.0]","[0.9159790873527527, 0.5862094759941101, 0.29032599925994873, 0.26306992769241333]"
strawberry-leaves-isolated-white-34722259_jpg.rf.92c5372d8bf637272f3e43ec8ddce702,"[[0.698076923076923, 0.5028776978417266, 0.43615384615384617, 0.34532374100719426], [0.2834615384615385, 0.5280575539568345, 0.4423076923076923, 0.3510791366906475], [0.5380769230769231, 0.2543165467625899, 0.36846153846153845, 0.5071942446043165]]","[10, 10, 10]","[18, 18, 18]","[[690.494140625, 350.4163818359375, 466.8504943847656, 689.3328857421875], [353.55523681640625, 750.805419921875, 584.9757080078125, 491.1181640625], [914.010009765625, 695.1201782226562, 555.7960815429688, 490.2549133300781]]","[10.0, 10.0, 10.0]","[0.9607771635055542, 0.9540722966194153, 0.9178025722503662]"
Soybean-20edamame-20leaf1_JPG_jpg.rf.25a505403e245004737af2604d4bf544,"[[0.49394762845849804, 0.2878289473684211, 0.32386363636363635, 0.575], [0.6385869565217391, 0.7241776315789473, 0.375, 0.34967105263157894], [0.23851284584980237, 0.646875, 0.3846343873517787, 0.3569078947368421]]","[8, 8, 8]","[15, 15, 15]","[[1991.168212890625, 892.293212890625, 1291.5430908203125, 1781.484619140625], [965.765380859375, 1982.0009765625, 1523.26953125, 1103.1536865234375], [2578.247314453125, 2207.33740234375, 1507.3226318359375, 1033.870361328125]]","[8.0, 8.0, 8.0]","[0.9798224568367004, 0.9759572148323059, 0.9618370532989502]"
Tomato-Mosaic-1wdr2jx-300x225_jpg.rf.e09a37f2ed27655405e5e469896b7cdc,"[[0.5038461538461538, 0.5072463768115942, 0.9769230769230769, 0.9565217391304348]]",[11],[24],"[[65.09259796142578, 33.889041900634766, 129.81480407714844, 66.34696197509766]]",[11.0],[0.8541911244392395]
stock-photo-fresh-soy-leaves-isolated-on-white-94700095_jpg.rf.7b6c6f7d926a1b7839b2ad0142ec8c34,"[[0.37, 0.6673819742489271, 0.4066666666666667, 0.4678111587982833], [0.7322222222222222, 0.528969957081545, 0.34444444444444444, 0.388412017167382], [0.2877777777777778, 0.3197424892703863, 0.42444444444444446, 0.2875536480686695]]","[8, 8, 8]","[15, 15, 15]","[[125.75496673583984, 145.82814025878906, 190.05653381347656, 125.67972564697266], [165.21820068359375, 309.28155517578125, 180.27215576171875, 213.79995727539062], [329.4722900390625, 250.2248077392578, 156.87110900878906, 181.15969848632812], [329.3170471191406, 250.27920532226562, 156.453369140625, 180.15538024902344]]","[8.0, 8.0, 8.0, 2.0]","[0.9166750311851501, 0.8126333951950073, 0.39370056986808777, 0.27683696150779724]"
1355_50commonrust_jpg.rf.5e39253a5b16a2fff9ebd6debfc2e7c0,"[[0.4826388888888889, 0.4821002386634845, 0.9583333333333334, 0.9594272076372315]]",[4],[9],"[[139.61297607421875, 207.9988250732422, 274.77569580078125, 415.9976501464844]]",[4.0],[0.934296190738678]
apple-leaf-closeup-37636177_jpg.rf.fc331b95cc97bf86fb9966e7466c16e8,"[[0.4530769230769231, 0.4723092998955068, 0.7046153846153846, 0.8359456635318704]]",[0],[1],"[[594.0436401367188, 454.26666259765625, 935.6871337890625, 800.322021484375]]",[0.0],[0.9419870972633362]
70_jpg.rf.f059da48ff9cd91d6d3632d1b966620b,"[[0.4806122448979592, 0.5030487804878049, 0.5122448979591837, 0.9857723577235772]]",[11],[23],"[[242.02305603027344, 258.8326110839844, 247.43222045898438, 465.0604553222656]]",[11.0],[0.8374919295310974]
636227737977191231-septoria-leaf-spot-VT_jpg.rf.27f9d6591e877f752e797670e7d10d69,"[[0.23689138576779026, 0.8728179551122195, 0.29775280898876405, 0.24438902743142144], [0.15917602996254682, 0.6234413965087282, 0.20599250936329588, 0.5386533665835411], [0.797752808988764, 0.5623441396508728, 0.3333333333333333, 0.685785536159601], [0.3857677902621723, 0.39900249376558605, 0.25842696629213485, 0.33915211970074816]]","[11, 11, 11, 11]","[20, 20, 20, 20]","[[425.0354919433594, 238.0182647705078, 172.69140625, 314.6278991699219], [200.61395263671875, 157.32427978515625, 139.41448974609375, 130.74337768554688], [107.11354064941406, 207.91525268554688, 84.50104522705078, 90.05174255371094]]","[11.0, 11.0, 11.0]","[0.9151433110237122, 0.31236764788627625, 0.2765747010707855]"
0_jpg.rf.94dc584ac451075da43cb853434ad369,"[[0.6645833333333333, 0.5402777777777777, 0.3125, 0.325], [0.31354166666666666, 0.5402777777777777, 0.34375, 0.325]]","[11, 11]","[20, 20]","[[152.74481201171875, 196.389404296875, 164.2965545654297, 112.441162109375], [318.2029113769531, 197.21649169921875, 149.70672607421875, 114.17076110839844], [424.5749816894531, 172.97198486328125, 58.7244873046875, 84.58428955078125]]","[11.0, 11.0, 11.0]","[0.9394619464874268, 0.9216890335083008, 0.7571401596069336]"
strawberry-leaves-stock-picture-948708_jpg.rf.a750d052c778abc6739c90da8c4db806,"[[0.4084615384615385, 0.2429951690821256, 0.46615384615384614, 0.39903381642512076], [0.3465384615384615, 0.5942028985507246, 0.42538461538461536, 0.3864734299516908], [0.6946153846153846, 0.6342995169082125, 0.3153846153846154, 0.5516908212560386]]","[10, 10, 10]","[18, 18, 18]","[[530.268310546875, 236.2346954345703, 605.4215087890625, 405.7230529785156], [448.4307861328125, 620.4190673828125, 552.878173828125, 406.4448547363281], [907.8494873046875, 655.1640625, 397.85906982421875, 582.3330078125]]","[10.0, 10.0, 10.0]","[0.9517862200737, 0.9483979344367981, 0.9475303292274475]"
vaccinium_angustifolium_leaf2_JPG_jpg.rf.09c060302bc02112e8cacd53d13d9302,"[[0.6559027777777777, 0.5791666666666667, 0.5270833333333333, 0.7777777777777778], [0.3170138888888889, 0.4300925925925926, 0.6215277777777778, 0.6407407407407407]]","[2, 2]","[5, 5]","[[914.982421875, 1260.764404296875, 751.0829467773438, 1637.32421875]]",[2.0],[0.8119905591011047]
tylcv-seminar-1-638_jpg.rf.95cf684b8241ca57e9c660489a49e379,"[[0.10658307210031348, 0.627348643006263, 0.11912225705329153, 0.11064718162839249], [0.2797805642633229, 0.569937369519833, 0.13949843260188088, 0.09603340292275574], [0.15752351097178682, 0.430062630480167, 0.0768025078369906, 0.17536534446764093], [0.7907523510971787, 0.7526096033402923, 0.18025078369905956, 0.16075156576200417], [0.762539184952978, 0.5720250521920668, 0.18025078369905956, 0.15866388308977036]]","[11, 11, 11, 11, 11]","[25, 25, 25, 25, 25]","[[494.1488342285156, 274.22784423828125, 142.52752685546875, 81.51101684570312], [102.45503234863281, 207.3388214111328, 55.50605010986328, 76.60501098632812], [519.0498657226562, 361.4810791015625, 146.08935546875, 86.09689331054688], [175.396240234375, 277.34576416015625, 87.28886413574219, 42.31304931640625], [149.79876708984375, 364.49517822265625, 30.414352416992188, 30.4111328125]]","[11.0, 11.0, 11.0, 11.0, 11.0]","[0.8935102224349976, 0.8710368275642395, 0.8638778328895569, 0.7737692594528198, 0.37881699204444885]"
4825902504_5fa80b65b8_z_jpg.rf.650ac959e5d8eb3600906b9d24e0e900,"[[0.5046875, 0.543778801843318, 0.78125, 0.7741935483870968]]",[1],[3],"[[315.0688781738281, 234.03961181640625, 531.5094604492188, 331.75030517578125], [315.4122314453125, 235.1576385498047, 532.1708984375, 329.1159973144531]]","[11.0, 1.0]","[0.6393831968307495, 0.5027952194213867]"
052609-20Hartman-20Crabapple-20scab-20single-20leaf_JPG_jpg.rf.a9fb2e32472a221a289c3326933f9762,"[[0.5090725806451613, 0.46839080459770116, 0.8528225806451613, 0.7011494252873564]]",[0],[0],"[[247.3589630126953, 171.461181640625, 431.4290466308594, 234.27317810058594]]",[0.0],[0.9653921127319336]
surface_jpg.rf.3980daa582c384ed74b96cef4fd4aafa,"[[0.5254629629629629, 0.48343373493975905, 0.9490740740740741, 0.9548192771084337]]",[9],[17],"[[216.0, 160.1470947265625, 432.0, 313.6795654296875], [216.0, 159.864990234375, 432.0, 311.12396240234375], [216.06480407714844, 159.5445098876953, 431.8703918457031, 311.8410949707031]]","[9.0, 11.0, 12.0]","[0.8044698238372803, 0.5029590129852295, 0.39934372901916504]"
brleaf2_zoom_jpg.rf.7741513e70ac586bc258bffe9e4390ef,"[[0.5027777777777778, 0.48592592592592593, 0.6677777777777778, 0.96]]",[12],[29],"[[451.65765380859375, 338.44049072265625, 661.2779541015625, 669.593505859375]]",[12.0],[0.9462563395500183]
stock-photo-peach-leaf-isolated-on-white-background-281097503_jpg.rf.5b028cd9faef9f17ba5ad50d2c27f5e1,"[[0.49266666666666664, 0.47368421052631576, 0.9133333333333333, 0.7543859649122807]]",[5],[10],"[[698.354248046875, 434.88336181640625, 1211.003662109375, 637.4736328125], [697.242431640625, 437.80267333984375, 1208.82421875, 646.8675537109375]]","[0.0, 5.0]","[0.8252851963043213, 0.5027836561203003]"
CMVpepperLeafShock-copy-50QUALITY-1ge8umw_jpg.rf.5ac96afe340b99e5cccc20e70768f5dc,"[[0.44152923538230887, 0.597, 0.34632683658170915, 0.806]]",[1],[4],"[[296.11920166015625, 295.700927734375, 247.65643310546875, 408.5981750488281], [602.6331176757812, 253.39596557617188, 128.6351318359375, 264.3363037109375]]","[1.0, 1.0]","[0.966456413269043, 0.6424863934516907]"
RnGnC_jpg.rf.ef7efaef7a427dae468066c120e95cac,"[[0.35491383325570564, 0.49231843575418993, 0.695854680950163, 0.8268156424581006], [0.7524452724732185, 0.23079608938547486, 0.29948765719608755, 0.3638268156424581], [0.8844899860270145, 0.575768156424581, 0.23102002794597112, 0.2115921787709497]]","[1, 1, 1]","[3, 3, 3]","[[817.7874145507812, 755.2030639648438, 1560.0067138671875, 1137.3743896484375], [1589.4202880859375, 306.4377746582031, 721.533203125, 503.0109558105469]]","[1.0, 1.0]","[0.9349159598350525, 0.824741542339325]"
stock-photo-two-sides-of-blueberry-leaf-isolated-on-white-15582232_jpg.rf.121af77ecfa0d99ed04a412e03a5c2f7,"[[0.29733333333333334, 0.504089219330855, 0.37733333333333335, 0.6929368029739778], [0.6763333333333333, 0.48401486988847586, 0.3526666666666667, 0.7910780669144981]]","[2, 2]","[5, 5]","[[1005.4615478515625, 648.3746337890625, 574.5082397460938, 965.748291015625], [442.5967712402344, 661.9682006835938, 559.2308959960938, 936.9306030273438]]","[2.0, 2.0]","[0.9741740822792053, 0.9585220217704773]"
stock-photo-blueberry-leaf-closeup-isolated-on-white-306486470_jpg.rf.573252557ca78e2523daa5679cd6ba8a,"[[0.6344444444444445, 0.509375, 0.7311111111111112, 0.63125]]",[2],[5],"[[239.76104736328125, 141.14944458007812, 239.27313232421875, 165.03025817871094], [315.5369567871094, 204.81663513183594, 262.97821044921875, 116.61239624023438]]","[2.0, 2.0]","[0.9342252016067505, 0.6591684222221375]"
early-blight-alternaria-alternata-leaf-spotting-on-potato-leaf-X91XJE_jpg.rf.a122b507b9d6b2b3bb1e43cb63c542d0,"[[0.5134615384615384, 0.4733110925771476, 0.9730769230769231, 0.6080066722268557]]",[6],[12],"[[656.4622192382812, 570.700927734375, 1287.0755615234375, 725.9629516601562]]",[6.0],[0.973246157169342]
latest-cb-20100621160325_jpg.rf.8937776e8b12ba49d9d8165c06a05bbe,"[[0.4990566037735849, 0.5878571428571429, 0.9377358490566038, 0.8242857142857143]]",[12],[28],"[[265.31158447265625, 401.74560546875, 506.489990234375, 590.82470703125]]",[12.0],[0.9579962491989136]
GREEN-20BELL-20PLANT-20YELLOW-20LEAF_JPG_jpg.rf.89fadf08b5b9e9f811bdbb0ef4aebbbb,"[[0.521875, 0.5325, 0.56125, 0.9016666666666666]]",[1],[3],"[[418.3787536621094, 322.6921691894531, 436.80804443359375, 536.4319458007812], [135.33543395996094, 172.76382446289062, 270.1858825683594, 330.18597412109375], [419.568603515625, 35.90724182128906, 286.1251220703125, 71.63594055175781]]","[1.0, 1.0, 1.0]","[0.8914786577224731, 0.7361897230148315, 0.3141317069530487]"
dscn3175_jpg.rf.9cf7783c3ec23c4f4afc920c1a334910,"[[0.529320987654321, 0.5100308641975309, 0.18441358024691357, 0.6126543209876543], [0.28935185185185186, 0.3397633744855967, 0.08564814814814815, 0.3647119341563786], [0.3256172839506173, 0.1154835390946502, 0.10493827160493827, 0.22170781893004116], [0.14988425925925927, 0.7739197530864198, 0.16087962962962962, 0.4521604938271605], [0.8734567901234568, 0.5995370370370371, 0.2507716049382716, 0.6013374485596708], [0.8130787037037037, 0.11368312757201646, 0.23881172839506173, 0.205761316872428]]","[11, 11, 11, 11, 11, 11]","[19, 19, 19, 19, 19, 19]","[[1366.631103515625, 1004.1588134765625, 538.162353515625, 1239.507568359375], [1742.7706298828125, 1226.70751953125, 329.281494140625, 825.5902099609375], [1956.34912109375, 226.0248260498047, 940.5498046875, 451.2992248535156], [867.9661865234375, 230.85260009765625, 297.70538330078125, 460.80731201171875], [340.1702880859375, 1109.2138671875, 641.762451171875, 1669.5721435546875]]","[11.0, 11.0, 11.0, 11.0, 11.0]","[0.9138716459274292, 0.7814537882804871, 0.45327651500701904, 0.3407978117465973, 0.33932480216026306]"
99e886623c2080c22f6519b0e708c531_jpg.rf.ba41425df73c1472a13a7acac1385cb6,"[[0.38941176470588235, 0.5897887323943662, 0.36470588235294116, 0.8204225352112676], [0.6776470588235294, 0.3204225352112676, 0.32941176470588235, 0.6267605633802817]]","[0, 0]","[2, 2]","[[159.8061981201172, 165.33795166015625, 154.03500366210938, 228.91009521484375], [279.51031494140625, 90.24715423583984, 131.52732849121094, 177.75987243652344]]","[0.0, 0.0]","[0.9584498405456543, 0.9131033420562744]"
pepper_bacterial-spot_03_zoom_jpg.rf.2d61ffff40e86065381b86504d75efd8,"[[0.26055555555555554, 0.4540901502504174, 0.41888888888888887, 0.9048414023372288], [0.76, 0.4599332220367279, 0.3977777777777778, 0.9131886477462438]]","[1, 1]","[4, 4]","[[680.83642578125, 273.44769287109375, 368.3475646972656, 534.1536865234375], [224.04754638671875, 280.44061279296875, 383.65936279296875, 542.7418212890625]]","[11.0, 11.0]","[0.9377922415733337, 0.5970422029495239]"
blueberrysilverleaf16-1372b_jpg.rf.5ecc98541044bbe116165b76e9008ebc,"[[0.23185265438786565, 0.5237068965517241, 0.38894907908992415, 0.8663793103448276], [0.7128927410617552, 0.5, 0.5016251354279523, 0.9727011494252874]]","[2, 2]","[5, 5]","[[409.133544921875, 695.0717163085938, 709.9813232421875, 1196.1268310546875], [1325.388916015625, 679.7425537109375, 960.7412109375, 1342.175537109375]]","[2.0, 2.0]","[0.9653953909873962, 0.9364520311355591]"
pepper_leaf_jpg.rf.c31e3743852096b2f1cb03eeaf1bfc11,"[[0.485, 0.5625, 0.7033333333333334, 0.835]]",[1],[3],"[[144.58445739746094, 215.7490234375, 205.2347869873047, 352.909423828125]]",[1.0],[0.9575337171554565]
